pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
23.	0.9269772313167921	0.025850098143719025	0.9063956144684734	0.030169768817762455	0.9254728310074082	0.026174184910236653	0.9149231002033161	0.028602788009204128	0.5331523653350889	0.06954120125148652	0.43207210012221137	0.06975001347625182
24.	0.9316569224305908	0.02514227948536718	0.9117789328186787	0.029389793272615372	0.9302017372249451	0.02545884176208152	0.9200636158842431	0.02784599077795885	0.5449869936270985	0.06947446582804678	0.44398900478793435	0.07017782661276908
25.	0.9358574008000833	0.024485262616354697	0.9166292349642671	0.028660659731110316	0.9344472366343178	0.024794685750554046	0.9246879462752672	0.027140500724351757	0.5561707002393195	0.06932480112359149	0.45537882900579957	0.07049725764910728
26.	0.9395786664252694	0.023879047536681464	0.9209465209052385	0.027982368193247398	0.9382093292355261	0.024181716875654125	0.9287960913763885	0.02648631784838279	0.566703485171752	0.06909220713812067	0.4662415727758069	0.07070830658526636
27.	0.9432013492252045	0.023288677407003355	0.9251483080682559	0.027322547565286903	0.9418718441691792	0.023584794771248918	0.9327945405743417	0.025849676293083435	0.5769317253030178	0.06885906055105301	0.4768014862322897	0.07089937150887132
28.	0.9467939438517824	0.022707861716715794	0.9293097290410832	0.026675372643570228	0.9455038517895942	0.022997595900944745	0.9367564419524731	0.025224499866060013	0.5869177514235715	0.06864018511033504	0.48709892336246585	0.071086359724989
29.	0.950118800784326	0.022158426065170433	0.9331701032745742	0.026061054595233224	0.948865705114962	0.02244206045060143	0.9404280004119693	0.024631870566709124	0.5964453001892637	0.06838414823697392	0.4969938716915716	0.07121407913730432
30.	0.9531759200228352	0.021640370452367275	0.9367294307687287	0.02547959342027606	0.951957404145283	0.021918188420218976	0.9438092159528301	0.024071788395030658	0.6055143716000945	0.0680909499309697	0.5064863312196068	0.07128252974581747
31.	0.9559653015673103	0.021153694878306373	0.9399877115235469	0.024930989118698732	0.9547789488805569	0.02142597980979727	0.9469000885750557	0.023544253351024724	0.6141249656560638	0.06776059019232228	0.5155763019465717	0.07129171155052832
32.	0.9584869454177511	0.020698399342987728	0.9429449455390286	0.024415241690501077	0.9573303393207839	0.02096543461933653	0.949700618278646	0.02304926543469127	0.6222770823571717	0.06739306902103182	0.5242637838724661	0.07124162455143693
33.	0.9607408515741577	0.020274483846411284	0.9456011328151739	0.02393235113568326	0.9596115754659641	0.020536552848836542	0.9522108050636011	0.022586824646030346	0.6299707217034182	0.06698838641709809	0.5325487769972901	0.07113226874854323
34.	0.9628699736301416	0.019866999822652442	0.9481151628877562	0.023467435538350956	0.9617668500162856	0.020124273987501662	0.954584581972351	0.02214187789607247	0.6373861143562571	0.06657550845311161	0.5405676706987083	0.07100019037823413
