pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc	NedivOPGCM	NedivOPGCM_unc	NedivONLEFT	NedivONLEFT_unc
26.	0.9231507349909608	0.004700727067105004	0.8930914706018889	0.004642126446543937	0.9218317516515958	0.005190622489224084	0.8974537348343302	0.0048401086178472275	0.6964162188474978	0.004385739575916814	0.6436635193267014	0.004350515140633671	0.9674384006319766	0.007039485638948073	0.973554808918668	0.00759071319175586
30.	0.947957766868913	0.006008918036008004	0.911872566210086	0.005786169151823617	0.9400514098770172	0.006570847096872612	0.9166915229364809	0.006081109351284031	0.7118731152947502	0.005402949041427685	0.6641439673010696	0.005394232507027086	0.9619337465022143	0.008627647808039374	0.975150415503773	0.009397190696865398
34.	0.9575865066654112	0.007125403265927588	0.9348202244198476	0.007057257501482894	0.9744443479963996	0.008095159647990346	0.9346231198710435	0.007400256757022605	0.757077690341348	0.006825839955053148	0.6981488502460134	0.006794079466178604	0.9762253518746391	0.010348023425470254	0.9591344254731075	0.01100738468415463
38.	0.9777859173908996	0.008362819706464908	0.955103470347377	0.008227179037192278	0.9847943205543427	0.009029158478182087	0.9586971628964418	0.008638863631326377	0.7744326458206419	0.007987379615895351	0.7147289195945943	0.0074581489247123045	0.9768022359086046	0.011857192902020808	0.9734998901666992	0.012514744034088032
42.	0.9951593070813861	0.009638027832812424	0.9892936726133585	0.009848432217330338	0.9976124233027976	0.01030772433207322	0.977086609722247	0.009837881708207985	0.8070589729885029	0.009188893160829603	0.7699718984634623	0.00941705773162671	0.9941058336828197	0.013806973160770841	0.9794250621773577	0.014130045840087702
46.	1.0266246206851248	0.011176403811177238	0.9947803394154733	0.010940815237102441	1.0072475576533226	0.012126327139131199	1.0013933162777153	0.011373069677568015	0.8225608367589456	0.009740247766681476	0.7720519309262852	0.010038736066890097	0.968981572594275	0.014995062257858183	0.9941878822826372	0.01645452456193569
50.	1.0289621976090597	0.01238610146496777	1.0015858099083146	0.010762376182500644	1.0324391117136051	0.013467423104955634	0.9940603831302834	0.011974388759982135	0.8421574419990395	0.011044110995765188	0.801281634228064	0.013301058870574978	0.9733941754474964	0.015706460193294802	0.9628271264155984	0.017095477441172013
54.	1.0416963751891695	0.012579985579842523	1.0304979978987334	0.013434107025479758	1.0165424740867772	0.013660980739877537	1.0135409984383354	0.012674180268825497	0.8737221491853695	0.013105022938773914	0.8172224843909258	0.01411721576573266	0.989249864397001	0.017579481689847243	0.9970473681868156	0.01830252093619461
58.	1.038454106996927	0.013008848818467422	1.025650103169332	0.011993008848725228	1.0592172241844227	0.015435989223322233	1.0567969180366124	0.01699711932948733	0.8785198699756065	0.012712891841073826	0.8543127783709112	0.01875421656546228	0.9876701303010658	0.01692513593540812	0.9977150049182084	0.021654222144819546
62.	1.0442888303812348	0.01277558518949462	1.0720542138519589	0.01991814157078675	1.081200083987107	0.015932170027344927	1.0435800278055585	0.015180297189450576	0.880007287011394	0.013031374010361585	0.84563064759244	0.01563954817019164	1.026587839171456	0.02283690143627992	0.9652052781546056	0.019985477027556486
69.	1.0875766573643049	0.01050696586594757	1.0602838488152015	0.009066700304360742	1.0838626235549016	0.010640259322100665	1.067298659138788	0.009919757848380062	0.9279799566669538	0.010871061122986192	0.8951736552342928	0.015235203558413901	0.974904933492002	0.012578010430989717	0.9847176532743732	0.013312148435151716
79.	1.1109463560358748	0.01123906005299391	1.0962268881429265	0.010141533996524954	1.1145240522517585	0.011499911571572374	1.1185058305791338	0.01251501305784819	0.9504688247864564	0.011259490710025188	0.9234034794882334	0.010684979527921579	0.9867505142683298	0.013527245245446795	1.0035726266466216	0.015274775783686023
89.	1.1220868262144807	0.010579258780371692	1.1319479543796773	0.012793777062177103	1.1301113346160183	0.011617491358937526	1.1051033087995799	0.012460188698137031	1.0025348790194757	0.013807882889665779	0.9376785863581585	0.010242496215965624	1.008788204205609	0.014847915097163045	0.9778711839706169	0.014920343529715163
99.	1.1391274289925375	0.011757394730565585	1.1124288400911568	0.010626604921528449	1.1536190900408043	0.01294414875093608	1.1313157871799706	0.01206181097538983	1.025950482101457	0.014989386440312114	0.9552161291965672	0.011386906918230189	0.9765622456084713	0.013733946195890079	0.9806666662736616	0.015178868748783825
109.	1.1520377653585776	0.012076732513929045	1.1694025111338746	0.014908884576222414	1.1968194286321274	0.015103788572879973	1.1518916315834933	0.01301571374557664	1.0531358569642069	0.014661063958798515	0.9934432210676521	0.015795563326120976	1.0150730699092074	0.016754321292393515	0.9624606720330542	0.016303410121435546
119.	1.1924916945424795	0.013462609574692586	1.1748841804626131	0.014524834280289944	1.1899745861394357	0.016188806128461186	1.1512477089341613	0.013740257172396797	1.048714543731972	0.01441975538853324	1.0096428117108291	0.014662092556503081	0.9852346861949242	0.016494683970537327	0.9674557106879789	0.017508660555760613
129.	1.2023551996630195	0.015559753545077992	1.185284160492781	0.014128149839853554	1.1823304825378282	0.014874491485926677	1.1800633722120193	0.014999871551843347	1.113468491516716	0.022089237279687923	1.0255066411911324	0.014336366060771821	0.9858019999622217	0.017344196491883568	0.9980825070830089	0.017849897019921346
139.	1.1940820913498122	0.01549028773800809	1.2077315915169564	0.015629214950903414	1.2290391669743663	0.02137286856597842	1.203191953656516	0.016597220002306345	1.0798766926623753	0.013040285906204208	1.011993165168193	0.013100956393585717	1.0114309562684376	0.018533092928615658	0.9789695772011232	0.021729861466541156
149.	1.192502039704322	0.015789537260339825	1.2145853552480632	0.018578715436860405	1.2355427354515554	0.019215095823580608	1.2061579046032698	0.01715583302586232	1.1287363119661116	0.017310066791035528	1.0781994738666096	0.018208957118583058	1.0185184719258147	0.02060565656739194	0.9762170663910332	0.02057415650811345
159.	1.215989222897683	0.016826064335447866	1.228887134361579	0.01701117039627187	1.250405860474049	0.0253029420123827	1.2425559678229028	0.01905557082810594	1.1149922306155873	0.015536513990766165	1.0677451331665762	0.015815449434465334	1.010606929091987	0.01978038745521049	0.9937221242323911	0.025231017997559335
169.	1.250924568231026	0.024245195400083075	1.2443184895949848	0.022347779617244656	1.2416091860547813	0.020006319439120457	1.2281258463658784	0.017605504113425763	1.1256188924764607	0.017605371705445405	1.0915891155738653	0.020944762056367194	0.9947190431750949	0.026284146922268492	0.989140431755546	0.02133279173496183
